nohup: ignoring input
I1203 17:25:26.942843  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.942857  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.962967  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1062
I1203 17:25:26.963008  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.963022  389329 collector.go:260] Processing IPFIX message
I1203 17:25:26.983035  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1063
I1203 17:25:26.983077  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:26.983091  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.003144  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1064
I1203 17:25:27.003175  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.003186  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.023325  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1065
I1203 17:25:27.023414  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.023428  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.043543  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1066
I1203 17:25:27.043594  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.043622  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.063773  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1067
I1203 17:25:27.063821  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
I1203 17:25:27.063835  389329 collector.go:260] Processing IPFIX message
I1203 17:25:27.083784  389329 session.go:74] "Added template to template map" obsDomainID=10000 templateID=1068
I1203 17:25:27.083822  389329 tcp.go:130] "Processed message from exporter" observationDomainID=10000 setType=0 numRecords=1
